number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
170,0.1046765342916428,2026-03-31 16:54:12.895537,2026-03-31 16:54:14.434262,0 days 00:00:01.538725,0.0022632336437635766,313,COMPLETE
171,0.0,2026-03-31 16:54:14.434700,2026-03-31 16:54:16.000677,0 days 00:00:01.565977,0.0013835860504875861,304,COMPLETE
172,0.10467197129196895,2026-03-31 16:54:16.001087,2026-03-31 16:54:17.607624,0 days 00:00:01.606537,0.001220725065855183,296,COMPLETE
173,0.10467025797231944,2026-03-31 16:54:17.608080,2026-03-31 16:54:19.226566,0 days 00:00:01.618486,0.0013358225337082076,288,COMPLETE
174,0.0,2026-03-31 16:54:19.227025,2026-03-31 16:54:20.589129,0 days 00:00:01.362104,0.0015752820797085311,329,COMPLETE
175,0.16835647247748656,2026-03-31 16:54:20.589576,2026-03-31 16:54:22.159563,0 days 00:00:01.569987,0.0026595184160987176,303,COMPLETE
176,0.3943873856597822,2026-03-31 16:54:22.159972,2026-03-31 16:54:23.610740,0 days 00:00:01.450768,0.0016362393184457275,322,COMPLETE
177,0.27463659329793555,2026-03-31 16:54:23.611345,2026-03-31 16:54:25.121428,0 days 00:00:01.510083,0.0017412349177564383,318,COMPLETE
178,0.139027584292027,2026-03-31 16:54:25.121875,2026-03-31 16:54:26.629412,0 days 00:00:01.507537,0.0020827387168930993,324,COMPLETE
179,0.3645639727110607,2026-03-31 16:54:26.629881,2026-03-31 16:54:28.103316,0 days 00:00:01.473435,0.0024030115276881888,333,COMPLETE
180,0.0,2026-03-31 16:54:28.103730,2026-03-31 16:54:29.494606,0 days 00:00:01.390876,0.0024341891514047076,334,COMPLETE
181,0.0,2026-03-31 16:54:29.495012,2026-03-31 16:54:30.850321,0 days 00:00:01.355309,0.0019115442302674083,357,COMPLETE
182,0.14069047407581345,2026-03-31 16:54:30.850760,2026-03-31 16:54:32.345185,0 days 00:00:01.494425,0.0022082951921784627,320,COMPLETE
183,0.15210187707612222,2026-03-31 16:54:32.345618,2026-03-31 16:54:33.694900,0 days 00:00:01.349282,0.0016203309033802034,204,COMPLETE
184,0.10594285452179691,2026-03-31 16:54:33.695317,2026-03-31 16:54:35.099285,0 days 00:00:01.403968,0.002684350027340224,308,COMPLETE
185,0.0,2026-03-31 16:54:35.099675,2026-03-31 16:54:36.439408,0 days 00:00:01.339733,0.004188527581233661,345,COMPLETE
186,0.0,2026-03-31 16:54:36.439847,2026-03-31 16:54:37.832209,0 days 00:00:01.392362,0.002400734201592087,366,COMPLETE
187,0.6091135473222847,2026-03-31 16:54:37.832645,2026-03-31 16:54:39.183043,0 days 00:00:01.350398,0.0019995505407158485,327,COMPLETE
188,0.40256159476017406,2026-03-31 16:54:39.183432,2026-03-31 16:54:40.566963,0 days 00:00:01.383531,0.0014552937355765915,330,COMPLETE
189,0.0,2026-03-31 16:54:40.567369,2026-03-31 16:54:41.926223,0 days 00:00:01.358854,0.001466681294906108,333,COMPLETE
