number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
142,-5.873412867174466e-11,COMPLETE,0.007850766662201058,22,220,0.5,,-0.0018628217971024738,-5.873412867174466e-11
143,2.390991665190967e-05,COMPLETE,0.001571991370322345,19,100,0.009886999803246524,0.20728151706453266,0.4608773044720071,2.390991665190967e-05
144,5.243627962225883e-05,COMPLETE,0.0011581475562902365,18,90,0.012384107838014947,0.30873741579166647,0.677334948189276,5.243627962225883e-05
145,-3.697606798525044e-08,COMPLETE,1.399892907351909e-05,6,340,8.588048922456519e-07,5.176300168436961e-05,0.9978732335010586,-3.697606798525044e-08
146,-9.868618722208566e-08,COMPLETE,0.00124365160603433,16,100,4.000029920758297e-06,9.797693277911236e-05,0.5973149358836353,-9.868618722208566e-08
147,-1.1536060995354092e-10,COMPLETE,0.008307968501879238,23,250,0.5,,-0.0015916293175541238,-1.1536060995354092e-10
148,-1.4828942296318814e-08,COMPLETE,0.0008484417295451192,17,70,9.74720492952295e-07,2.5800930516897286e-05,0.844668970614003,-1.4828942296318814e-08
149,-1.7575052524421153e-10,COMPLETE,0.000830015254058572,19,20,1.968993577094357e-09,6.737154980467126e-08,0.9111341342319633,-1.7575052524421153e-10
150,0.0035840311666224256,COMPLETE,0.0007091490974207003,16,10,0.05562508640481298,2.731460176870311,0.859710945491206,0.0035840311666224256
151,0.0039934730533537355,COMPLETE,0.00933750069285323,16,40,0.41900267976457023,4.656521264072799,-0.0069460225934161795,0.0039934730533537355
152,-4.398059760823969e-08,COMPLETE,3.946931711333025e-05,5,400,3.274018400056323e-07,2.2005193792215887e-05,0.9856494855379839,-4.398059760823969e-08
153,-2.4701139134108985e-08,COMPLETE,0.005742435656911016,2,20,6.679407272443521e-07,1.2597802162148336e-05,0.05785141243633667,-2.4701139134108985e-08
154,6.413070767852247e-05,COMPLETE,0.009985602662803409,18,60,0.29152335211716285,0.48135520035771123,-0.009158101978131588,6.413070767852247e-05
155,0.003294115803481046,COMPLETE,0.006300475481134299,16,40,0.2162164390330447,3.129992677663052,0.02829041560223928,0.003294115803481046
156,-2.2957289402825154e-09,COMPLETE,0.008761801448892291,15,70,2.2219669116962763e-06,1.8820289852204928e-06,-0.006816612751260479,-2.2957289402825154e-09
157,-1.459403708992113e-10,COMPLETE,0.0074416091407292035,17,20,1.716359281082026e-08,2.855944419160829e-07,0.03242863896970084,-1.459403708992113e-10
158,3.209763885791972e-05,COMPLETE,0.005805177199896558,16,60,0.03812047130839477,0.24990325253888745,0.017015958233991945,3.209763885791972e-05
159,0.00019591851064582055,COMPLETE,0.006303215678872329,15,70,0.12219465521601483,0.675756579387014,0.00567391944958089,0.00019591851064582055
160,-8.603468559797989e-08,COMPLETE,0.00045804332353347436,16,20,1.4531994066670152e-06,5.3158835705470505e-05,0.9410753308096274,-8.603468559797989e-08
161,-4.834765232608618e-08,COMPLETE,0.0009481518798538,15,20,1.999917373442326e-06,7.057042280196467e-05,0.8960661728936745,-4.834765232608618e-08
162,-5.95310467588206e-11,COMPLETE,0.0009999145352991424,14,20,1.2928345444121532e-09,4.5795377088249106e-08,0.8889626994604537,-5.95310467588206e-11
